vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
1951,20220720 20:01,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
8124,20220720 20:01,41.89393663406372,-87.6203384399414,178,6662,66,Navy Pier,43292,False,22224274,66 -814,
1934,20220720 20:01,41.892711495453455,-87.6100082397461,56,6662,66,Navy Pier,47796,False,88355183,66 -809,
1917,20220720 20:01,41.892311096191406,-87.60999298095703,180,6662,66,Navy Pier,47887,False,22224273,SN  -854,
1986,20220720 20:01,41.89551986473194,-87.71815468608469,270,6665,66,Austin,32318,False,88355186,SN  -852,
4078,20220720 20:01,41.89516698097696,-87.7745323959662,193,6665,66,Austin,48038,False,10005668,66 -804,
2016,20220720 20:03,41.8961181640625,-87.66487503051758,268,4357,66,Pulaski,17313,False,88355189,66 -817,
8191,20220720 20:03,41.89524459838867,-87.7267814049354,88,6662,66,Navy Pier,13096,False,22224278,SN  -858,
1972,20220720 20:03,41.896305084228516,-87.65560150146484,86,6662,66,Navy Pier,32607,False,22224276,66 -815,
1951,20220720 20:03,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
8124,20220720 20:03,41.891021728515625,-87.61977481842041,175,6662,66,Navy Pier,44505,False,22224274,66 -814,
1934,20220720 20:03,41.892311096191406,-87.60999298095703,174,6662,66,Navy Pier,47887,False,88355183,66 -809,
1917,20220720 20:03,41.892311096191406,-87.60999298095703,180,6665,66,Austin,0,False,22224250,SN  -854,
1986,20220720 20:03,41.89540481567383,-87.72535935887751,267,6665,66,Austin,34264,False,88355186,SN  -852,
4078,20220720 20:03,41.89516698097696,-87.7745323959662,193,6665,66,Austin,48038,False,10005668,66 -804,
2016,20220720 20:05,41.89596176147461,-87.67456109183175,268,4357,66,Pulaski,20183,False,88355189,66 -817,
8191,20220720 20:05,41.895206451416016,-87.72428385416667,89,6662,66,Navy Pier,13780,False,22224278,SN  -858,
1951,20220720 20:05,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
