vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
8074,20220720 18:57,41.95454025268555,-87.65122296259953,268,8470,X9,Irving Park/Broadway,93262,True,10001764,N9  -696,
8040,20220720 18:57,41.95454025268555,-87.65122663057767,266,8470,X9,Irving Park/Broadway,93263,False,10002429,X9  -653,
8095,20220720 18:56,41.91615549723307,-87.6678958468967,186,15955,X9,74th,18855,False,10001803,9 -609,
8043,20220720 18:56,41.91299247741699,-87.6678237915039,179,15955,X9,74th,20049,False,10001802,9 -608,
8221,20220720 18:57,41.86478198016131,-87.66634368896484,179,15955,X9,74th,37766,False,10002347,9 -614,
8093,20220720 18:59,41.83909606933594,-87.66535949707031,268,4658,X9,95th,47909,False,10002346,9 -655,
8025,20220720 18:59,41.78674768847088,-87.66431764114735,180,4658,X9,95th,67118,False,10002345,X9  -612,
8033,20220720 18:59,41.75898829046285,-87.66371687403264,176,4658,X9,95th,77307,False,10002343,X9  -663,
1453,20220720 18:59,41.75031967163086,-87.66354370117188,173,4658,X9,95th,80457,False,10002344,X9  -603,
8225,20220720 18:59,41.95439050552693,-87.66226293685588,88,8470,X9,Irving Park/Broadway,88253,False,10001762,X9  -655,
8094,20220720 18:59,41.95431221856011,-87.65039350721571,270,8470,X9,Irving Park/Broadway,93014,False,10001763,X9  -654,
8040,20220720 18:59,41.95454025268555,-87.65122663057767,266,8470,X9,Irving Park/Broadway,93263,False,10002429,X9  -653,
8074,20220720 18:59,41.95453731830303,-87.65140709510216,268,8470,X9,Irving Park/Broadway,93354,False,10001764,N9  -696,
8043,20220720 18:59,41.910913640802555,-87.66777038574219,187,15955,X9,74th,20805,False,10001802,9 -608,
8095,20220720 18:59,41.91063475608826,-87.66779311498006,179,15955,X9,74th,20929,False,10001803,9 -609,
8221,20220720 18:59,41.85585777576153,-87.66609954833984,179,15955,X9,74th,41078,False,10002347,9 -614,
8093,20220720 19:01,41.83784370422363,-87.66581363677979,177,4658,X9,95th,48421,False,10002346,9 -655,
8025,20220720 19:01,41.77945765327005,-87.66434478759766,179,4658,X9,95th,69828,False,10002345,X9  -612,
8033,20220720 19:01,41.75017786026001,-87.66354370117188,176,4658,X9,95th,80489,False,10002343,X9  -663,
1453,20220720 19:01,41.739711969549006,-87.66324615478516,180,4658,X9,95th,84337,False,10002344,X9  -603,
8225,20220720 19:01,41.95268654336735,-87.65338866564693,89,8470,X9,Irving Park/Broadway,91354,False,10001762,X9  -655,
8094,20220720 19:01,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,False,10001763,X9  -654,
8040,20220720 19:01,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,False,10002429,X9  -653,
8074,20220720 19:01,41.95460833333333,-87.65235833333334,268,15955,X9,74th,222,False,10001805,N9  -696,
8043,20220720 19:01,41.90388840895433,-87.66761779785156,180,15955,X9,74th,23377,False,10001802,9 -608,
8095,20220720 19:01,41.9038647871751,-87.66761779785156,180,15955,X9,74th,23385,False,10001803,9 -609,
8221,20220720 19:01,41.844367713258976,-87.66596221923828,178,15955,X9,74th,45254,False,10002347,9 -614,
8093,20220720 19:03,41.83057041168213,-87.66570320129395,176,4658,X9,95th,51086,False,10002346,9 -655,
8025,20220720 19:03,41.77795572150244,-87.66416931152344,179,4658,X9,95th,70386,False,10002345,X9  -612,
8033,20220720 19:03,41.73988957558909,-87.66324615478516,178,4658,X9,95th,84274,False,10002343,X9  -663,
1453,20220720 19:03,41.73544750474904,-87.66320894842278,177,4658,X9,95th,85928,False,10002344,X9  -603,
8225,20220720 19:03,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,False,10001762,X9  -655,
8094,20220720 19:03,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,False,10001763,X9  -654,
8040,20220720 19:03,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,False,10002429,X9  -653,
8074,20220720 19:03,41.954559326171875,-87.65438842773438,267,15955,X9,74th,751,False,10001805,N9  -696,
